id_venta,fecha_hora,monto_total,id_producto,id_cliente
1,2023/01/02,1000,1,1
2,2023/01/03,3000,9,2
3,2023/01/03,5000,3,3
4,2023/01/04,2400,2,4
5,2023/01/05,3600,4,5
6,2023/01/07,2000,5,6
7,2023/01/08,450,6,7
8,2023/01/09,1800,8,8
9,2023/01/10,5000,3,9
10,2023/01/10,900,10,10
11,2023/01/12,800,11,11
12,2023/01/12,1000,1,12
13,2023/01/13,500,12,13
14,2023/01/15,1200,13,14
15,2023/01/16,700,14,15
16,2023/01/17,1500,15,16
17,2023/01/17,2500,16,17
18,2023/01/18,1200,17,18
19,2023/01/19,300,18,19
20,2023/01/20,150,19,20
21,2023/01/21,80,20,21
22,2023/01/22,25,21,22
23,2023/01/23,50,22,23
24,2023/01/24,20,23,24
25,2023/01/26,100,24,25
26,2023/01/27,300,25,1
27,2023/01/27,3000,9,2
28,2023/01/29,1000,1,3
29,2023/01/30,3600,4,4
30,2023/01/30,2400,2,5
31,2023/01/31,1200,17,6
32,2023/02/01,1500,15,7
33,2023/02/02,1800,8,8
34,2023/02/03,1000,3,9
35,2023/02/05,3000,9,10
36,2023/02/06,500,12,11
37,2023/02/06,800,11,12
38,2023/02/08,150,19,13
39,2023/02/08,100,24,14
40,2023/02/09,350,7,15
41,2023/02/10,5000,3,16
42,2023/02/11,700,14,17
43,2023/02/12,1200,4,18
44,2023/02/13,2500,2,19
45,2023/02/14,1800,8,20
46,2023/02/15,900,10,21
47,2023/02/16,100,24,22
48,2023/02/17,30,19,23
49,2023/02/18,1500,15,24
50,2023/02/19,2500,2,25
51,2023/02/21,2500,2,30
52,2023/02/21,4149,38,9
53,2023/02/23,50,22,43
54,2023/02/24,1200,17,72
55,2023/02/25,1486,43,67
56,2023/02/25,700,14,50
57,2023/02/26,25,21,27
58,2023/02/28,1500,15,53
59,2023/02/28,20,23,47
60,2023/03/01,2500,16,54
61,2023/03/03,308,40,19
62,2023/03/03,1200,17,71
63,2023/03/04,20,23,59
64,2023/03/05,2486,27,17
65,2023/03/06,20,23,60
66,2023/03/07,150,18,41
67,2023/03/09,1990,45,34
68,2023/03/10,3953,33,13
69,2023/03/10,150,18,57
70,2023/03/12,150,18,15
71,2023/03/12,20,23,30
72,2023/03/14,80,20,48
73,2023/03/15,4000,3,42
74,2023/03/15,2739,42,68
75,2023/03/16,1000,1,20
76,2023/03/17,50,22,14
77,2023/03/18,4149,38,18
78,2023/03/19,1200,4,72
79,2023/03/21,25,21,10
80,2023/03/21,509,28,43
81,2023/03/23,1990,45,72
82,2023/03/23,500,12,63
83,2023/03/25,2500,2,72
84,2023/03/25,4978,36,2
85,2023/03/27,20,23,38
86,2023/03/28,500,12,72
87,2023/03/28,1500,15,21
88,2023/03/29,4876,32,36
89,2023/03/30,500,12,32
90,2023/03/31,2500,2,43
91,2023/04/01,2931,41,67
92,2023/04/02,300,25,41
93,2023/04/04,300,25,66
94,2023/04/04,1200,4,56
95,2023/04/06,1500,15,71
96,2023/04/07,1712,31,66
97,2023/04/07,700,14,7
98,2023/04/08,4149,38,28
99,2023/04/10,1503,39,52
100,2023/04/10,1990,45,12
101,2023/04/12,2931,41,53
102,2023/04/13,1712,31,5
103,2023/04/14,2486,27,26
104,2023/04/14,50,22,61
105,2023/04/16,150,6,29
106,2023/04/16,150,18,34
107,2023/04/18,150,6,22
108,2023/04/18,50,22,21
109,2023/04/19,20,23,23
110,2023/04/20,700,14,49
111,2023/04/22,2931,41,46
112,2023/04/22,350,7,50
113,2023/04/23,150,6,47
114,2023/04/24,100,24,53
115,2023/04/25,500,12,45
116,2023/04/26,1800,8,15
117,2023/04/27,2739,42,34
118,2023/04/28,30,19,30
119,2023/04/29,4876,32,2
120,2023/05/01,1503,39,69
121,2023/05/02,2739,42,36
122,2023/05/02,1486,43,46
123,2023/05/03,3000,9,61
124,2023/05/04,4978,36,2
125,2023/05/05,4149,38,55
126,2023/05/06,900,10,48
127,2023/05/08,800,11,28
128,2023/05/08,500,12,42
129,2023/05/09,4000,3,6
130,2023/05/10,3000,9,10
131,2023/05/12,2500,16,66
132,2023/05/12,2739,42,44
133,2023/05/13,4732,29,10
134,2023/05/15,2270,26,19
135,2023/05/15,50,22,50
136,2023/05/17,3000,9,59
137,2023/05/17,150,6,7
138,2023/05/18,293,37,8
139,2023/05/20,25,21,74
140,2023/05/21,1200,4,23
141,2023/05/21,1800,8,2
142,2023/05/22,293,37,6
143,2023/05/23,3953,33,47
144,2023/05/24,1200,4,32
145,2023/05/26,2931,41,20
146,2023/05/26,1503,39,71
147,2023/05/27,4876,32,19
148,2023/05/28,1200,13,62
149,2023/05/30,2301,34,60
150,2023/05/30,25,21,5
151,2023/01/01,4944,49,12
152,2023/01/02,2701,57,50
153,2023/01/04,308,40,23
154,2023/01/04,150,6,30
155,2023/01/06,1200,4,48
156,2023/01/06,308,40,32
157,2023/01/08,2270,26,44
158,2023/01/08,2739,42,69
159,2023/01/09,2486,27,16
160,2023/01/10,4106,53,23
161,2023/01/12,2500,2,19
162,2023/01/12,1486,43,63
163,2023/01/13,716,72,37
164,2023/01/14,350,7,25
165,2023/01/15,4944,49,17
166,2023/01/16,900,10,24
167,2023/01/18,1200,17,40
168,2023/01/18,2296,79,25
169,2023/01/19,4978,36,69
170,2023/01/20,4732,29,12
171,2023/01/21,400,92,55
172,2023/01/22,30,19,65
173,2023/01/24,2931,41,42
174,2023/01/24,1409,95,19
175,2023/01/26,4732,29,28
176,2023/01/27,4434,84,50
177,2023/01/28,404,65,18
178,2023/01/28,1000,1,18
179,2023/01/29,25,21,60
180,2023/01/30,30,19,65
181,2023/01/31,157,94,70
182,2023/02/01,2543,78,15
183,2023/02/02,2500,2,65
184,2023/02/03,505,59,49
185,2023/02/04,1449,52,5
186,2023/02/05,150,6,16
187,2023/02/06,2270,26,48
188,2023/02/08,3000,9,35
189,2023/02/08,3816,48,15
190,2023/02/09,1957,50,73
191,2023/02/11,157,94,40
192,2023/02/11,505,59,42
193,2023/02/13,1171,88,28
194,2023/02/13,308,40,19
195,2023/02/15,3816,48,37
196,2023/02/15,4540,93,40
197,2023/02/17,505,59,4
198,2023/02/17,1486,43,45
199,2023/02/18,2141,68,70
200,2023/02/19,2486,27,44
201,2023/02/20,1409,95,9
202,2023/02/21,200,5,25
203,2023/02/23,20,23,4
204,2023/02/24,800,11,49
205,2023/02/24,25,21,32
206,2023/02/26,2512,76,32
207,2023/02/27,2296,79,9
208,2023/02/28,2500,2,68
209,2023/02/28,505,59,10
210,2023/03/02,2931,41,10
211,2023/03/02,2931,41,61
212,2023/03/03,4106,53,42
213,2023/03/04,3424,55,11
214,2023/03/05,1449,52,18
215,2023/03/06,1990,45,39
